Population,Ano,Novos Casos
Africa,2020,1109209
Asia,2020,9503710
Europe,2020,4398443
Latin America and Caribbean,2020,1470274
Northern America,2020,2556862
Oceania,2020,254291
Africa,2025,1300771
Asia,2025,10865865
Europe,2025,4662744
Latin America and Caribbean,2025,1688680
Northern America,2025,2815471
Oceania,2025,284914
Africa,2030,1527194
Asia,2030,12290655
Europe,2030,4913808
Latin America and Caribbean,2030,1925663
Northern America,2030,3070906
Oceania,2030,316180
Africa,2035,1791960
Asia,2035,13738601
Europe,2035,5142033
Latin America and Caribbean,2035,2177249
Northern America,2035,3317886
Oceania,2035,346793
Africa,2040,2097365
Asia,2040,15130778
Europe,2040,5323141
Latin America and Caribbean,2040,2435315
Northern America,2040,3525597
Oceania,2040,375744
